CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0152,0.9899815373876906
C0001,C0180,0.9765151216374532
C0001,C0106,0.9606809602878694
C0002,C0010,0.9912207904044443
C0002,C0029,0.9888658162393341
C0002,C0083,0.9587717022186293
C0003,C0052,0.9582595209594894
C0003,C0035,0.9373995283956524
C0003,C0117,0.8855972586114487
C0004,C0122,0.9850036581067516
C0004,C0113,0.981289927385497
C0004,C0162,0.9790349712473606
C0005,C0159,0.9650417893857556
C0005,C0198,0.9573154795503385
C0005,C0131,0.9564853508560478
C0006,C0026,0.9604503446594344
C0006,C0066,0.8869481235443487
C0006,C0187,0.8587040489195886
C0007,C0074,0.9768778633456827
C0007,C0176,0.9635449371541249
C0007,C0112,0.9617136900933082
C0008,C0084,0.9810242788761179
C0008,C0098,0.9550317140557181
C0008,C0017,0.9209221415513099
C0009,C0077,0.9871299644781518
C0009,C0043,0.9831907497849977
C0009,C0186,0.9744883323363321
C0010,C0002,0.9912207904044443
C0010,C0199,0.9828708220143276
C0010,C0029,0.9621706571119235
C0011,C0174,0.9523973020333257
C0011,C0086,0.9484558660630662
C0011,C0106,0.9329198160842219
C0012,C0143,0.9825470261021106
C0012,C0057,0.967670528518955
C0012,C0126,0.963914984224466
C0013,C0059,0.986383020378083
C0013,C0054,0.9678575310867712
C0013,C0046,0.9650166657070245
C0014,C0058,0.9997081877742029
C0014,C0020,0.9982853108456636
C0014,C0110,0.99695666565651
C0015,C0095,0.9983000406932869
C0015,C0043,0.978073484911412
C0015,C0140,0.9761857102639606
C0016,C0183,0.9996713041746711
C0016,C0048,0.9702087046181055
C0016,C0072,0.9119285716752625
C0017,C0075,0.9926450231128535
C0017,C0068,0.9673916256618661
C0017,C0156,0.9672051710202231
C0018,C0182,0.9351839747538865
C0018,C0117,0.8888317171722394
C0018,C0105,0.8827364407313157
C0019,C0034,0.8782632691824063
C0019,C0147,0.7602530438125926
C0019,C0119,0.7412471624736382
C0020,C0110,0.9987812504741128
C0020,C0058,0.9983350810197332
C0020,C0014,0.9982853108456636
